@relation EvolutionChain

merging,splitting,merging,splitting,shrinking,growing,growing
merging,splitting,merging,splitting,shrinking,growing,growing
merging,splitting,merging,splitting,shrinking,growing,growing
forming,merging,splitting,merging,splitting,shrinking,growing
merging,splitting,merging,splitting,shrinking,growing,growing
forming,merging,splitting,merging,splitting,shrinking,growing
merging,splitting,merging,splitting,shrinking,growing,growing
forming,growing,merging,splitting,merging,splitting,shrinking
growing,merging,splitting,merging,splitting,shrinking,growing
merging,splitting,merging,splitting,shrinking,growing,growing
forming,growing,merging,splitting,merging,splitting,shrinking
growing,merging,splitting,merging,splitting,shrinking,growing
merging,splitting,merging,splitting,shrinking,growing,growing
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,dissolving
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
forming,growing,splitting,merging,splitting,growing,shrinking
forming,growing,continuing,merging,splitting,growing,merging
growing,continuing,merging,splitting,growing,merging,splitting
forming,growing,continuing,merging,splitting,growing,merging
growing,continuing,merging,splitting,growing,merging,splitting
forming,growing,continuing,merging,splitting,growing,merging
growing,continuing,merging,splitting,growing,merging,splitting
continuing,merging,splitting,growing,merging,splitting,dissolving
forming,growing,continuing,merging,splitting,growing,merging
growing,continuing,merging,splitting,growing,merging,splitting
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,dissolving
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
forming,growing,growing,merging,splitting,merging,splitting
growing,growing,merging,splitting,merging,splitting,shrinking
growing,merging,splitting,merging,splitting,shrinking,growing
merging,splitting,merging,splitting,shrinking,growing,growing
forming,growing,growing,merging,splitting,merging,splitting
growing,growing,merging,splitting,merging,splitting,shrinking
growing,merging,splitting,merging,splitting,shrinking,growing
