1,2,3,6,116,119,136,143,173,177,178,179,182,187,196,202,216,239,244,255,294,302,312,331,379,381
2,1,32,89,205,359,402
3,1,4
4,3,5
5,4,6,7,225,298,324
6,1,5,7,8,134,183
7,5,6,43,80,196,216,366,379,396,400,401
8,6,9,136
9,8,14,135,136,356,367
10,373
11,156
12,349
13,372
14,9
15,136
16,356
17,183
18,276
19,135,159,168,383
20,356
21,282
22,183
23,303
24,285
25,135,345,351
26,136,303
27,399
28,125,136,208
29,356
30,330
31,356
32,2,303
33,293
34,125
35,136
36,305,349
37,333
38,376
39,174
40,293
41,221
42,135
43,7
44,135
45,95,168,256
46,183,293
47,258
48,309
49,98
50,135
51,330
52,176
53,400
54,125
55,103,113,116,139
56,196
57,125
58,311
59,125
60,305
61,128,187,267
62,305
63,143,176,215,331
64,313
65,125
66,135
67,131
68,135,183
69,179
70,258
71,178
72,315
73,183,329
74,255
75,125
76,125
77,330,385,386
78,147,176
79,187,319
80,7,171,327
81,110,141
82,260
83,85,176,181,397
84,125
85,83
86,175,253,295,331,362,378,381,382,392
87,150
88,260
89,2,208,258,389,390
90,176,260
91,323
92,95,103,107,135,136,177,264,303,391
93,128
94,215,356
95,45,92,132,160,176,196,269,333,357,377
96,125
97,135
98,49,330
99,153
100,205
101,303,332
102,141
103,55,92,272,286,303,332,351
104,255
105,176
106,125
107,92,354
108,183,214
109,267
110,81,135,380
111,156,178
112,136
113,55,141,155
114,128,171,202
115,183
116,1,55
117,214
118,380
119,1,171
120,159,168,260
121,183
122,172,176,273
123,162
124,183
125,28,34,54,57,59,65,75,76,84,96,106,148,157,164,170,192,194,198,201,243,247,251,258,289,292,296,303,318,351,355,377
126,159,333
127,253
128,61,93,114,178,237,342,350
129,403
130,339
131,67,355
132,95,141,147,177,273
133,262,303,327,387,395
134,6,135,138,179,396
135,9,19,25,42,44,50,66,68,92,97,110,134,137,139,140,142,144,157,158,204,207,222,234,239,241,374
136,1,8,9,15,26,28,35,92,112,138,142,147,181,183,217,218,230,249,263,273,283,309,327,356,373,377,388,393,394,395
137,135,139
138,134,136,182
139,55,135,137,314,328,375
140,135,141,177,179
141,81,102,113,132,140,154,157,174,181,187,255,329,347,353,356,395
142,135,136,175,183,317
143,1,63,175,176,291
144,135
145,398
146,255
147,78,132,136,196,297,372
148,125
149,341
150,87,177
151,165
152,258
153,99,183
154,141
155,113
156,11,111,221,344
157,125,135,141,183
158,135
159,19,120,126,183
160,95,329,371,383
161,254
162,123,237,240,356
163,177
164,125
165,151,356
166,183
167,259
168,19,45,120,215,238,343,367
169,329
170,125
171,80,114,119,173,321,357,358
